,Gender,Weight,Height
0,1,66.0,140
1,1,72.0,145
2,1,73.5,160
3,1,73.0,190
4,1,69.0,155
5,1,73.0,165
6,1,72.0,150
7,1,74.0,190
8,1,72.0,195
9,1,71.0,138
10,1,74.0,160
11,1,72.0,155
12,1,70.0,153
13,1,67.0,145
14,1,71.0,170
15,1,72.0,175
16,1,69.0,175
17,1,73.0,170
18,1,74.0,180
19,1,66.0,135
20,1,71.0,170
21,1,70.0,157
22,1,70.0,130
23,1,75.0,185
24,2,61.0,140
25,2,66.0,120
26,2,68.0,130
27,2,68.0,138
28,2,63.0,121
29,2,70.0,125
30,2,68.0,116
31,2,69.0,145
32,2,69.0,150
33,2,62.75,112
34,2,68.0,125
35,1,74.0,190
36,1,71.0,155
37,1,69.0,170
38,1,70.0,155
39,1,72.0,215
40,1,67.0,150
41,1,69.0,145
42,1,73.0,155
43,1,73.0,155
44,1,71.0,150
45,1,68.0,155
46,1,69.5,150
47,1,73.0,180
48,1,75.0,160
49,1,66.0,135
50,1,69.0,160
51,1,66.0,130
52,1,73.0,155
53,1,68.0,150
54,1,74.0,148
55,1,73.5,155
56,1,70.0,150
57,1,67.0,140
58,1,72.0,180
59,1,75.0,190
60,1,68.0,145
61,1,69.0,150
62,1,71.5,164
63,1,71.0,140
64,1,72.0,142
65,1,69.0,136
66,1,67.0,123
67,1,68.0,155
68,2,66.0,130
69,2,65.5,120
70,2,66.0,130
71,2,62.0,131
72,2,62.0,120
73,2,63.0,118
74,2,67.0,125
75,2,65.0,135
76,2,66.0,125
77,2,65.0,118
78,2,65.0,122
79,2,65.0,115
80,2,64.0,102
81,2,67.0,115
82,2,69.0,150
83,2,68.0,110
84,2,63.0,116
85,2,62.0,108
86,2,63.0,95
87,2,64.0,125
88,2,68.0,133
89,2,62.0,110
90,2,67.0,150
91,2,61.75,108
